gameId,playId,playDescription,quarter,down,yardsToGo,possessionTeam,specialTeamsPlayType,specialTeamsResult,kickerId,yardlineSide,yardlineNumber,gameClock,kickLength,displayName,season,week,gameDate,homeTeamAbbr,visitorTeamAbbr,seasonType
2025_05_NYG_NO,4239,"(2:00) 19-B.Grupe 46 yard field goal is No Good, Wide Right, Center-49-Z.Wood, Holder-32-K.Kroeger.",4,4,6,NO,Field Goal,Kick Attempt No Good,00-0038905,NYG,28.0,02:00:00,46.0,B.Grupe,2025,5,2025-10-05,NO,NYG,REG
2025_05_SF_LA,2059,"(:02) 18-E.Pineiro 37 yard field goal is GOOD, Center-46-J.Weeks, Holder-7-T.Morstead.",2,4,2,SF,Field Goal,Kick Attempt Good,00-0034173,LA,19.0,00:02:00,37.0,E.Pineiro,2025,5,2025-10-02,LA,SF,REG
2025_05_SF_LA,2288,"(12:51) 16-J.Karty 53 yard field goal is No Good, Wide Right, Center-47-A.Ward, Holder-42-E.Evans.",3,4,6,LA,Field Goal,Kick Attempt No Good,00-0039750,SF,35.0,12:51:00,53.0,J.Karty,2025,5,2025-10-02,LA,SF,REG
2025_05_SF_LA,2618,"(6:36) 18-E.Pineiro 20 yard field goal is GOOD, Center-46-J.Weeks, Holder-7-T.Morstead.",3,4,2,SF,Field Goal,Kick Attempt Good,00-0034173,LA,2.0,06:36:00,20.0,E.Pineiro,2025,5,2025-10-02,LA,SF,REG
2025_05_SF_LA,3987,"(2:57) 18-E.Pineiro 59 yard field goal is GOOD, Center-46-J.Weeks, Holder-7-T.Morstead.",4,4,11,SF,Field Goal,Kick Attempt Good,00-0034173,LA,41.0,02:57:00,59.0,E.Pineiro,2025,5,2025-10-02,LA,SF,REG
2025_05_SF_LA,4494,"(:06) 16-J.Karty 48 yard field goal is GOOD, Center-47-A.Ward, Holder-42-E.Evans.",4,3,10,LA,Field Goal,Kick Attempt Good,00-0039750,SF,30.0,00:06:00,48.0,J.Karty,2025,5,2025-10-02,LA,SF,REG
2025_05_SF_LA,4774,"(5:55) 18-E.Pineiro 41 yard field goal is GOOD, Center-46-J.Weeks, Holder-7-T.Morstead.",5,4,12,SF,Field Goal,Kick Attempt Good,00-0034173,LA,23.0,05:55:00,41.0,E.Pineiro,2025,5,2025-10-02,LA,SF,REG
2025_05_TB_SEA,303,"(8:00) 4-C.McLaughlin 30 yard field goal is GOOD, Center-86-E.Deckers, Holder-9-R.Dixon.",1,4,5,TB,Field Goal,Kick Attempt Good,00-0035358,SEA,12.0,08:00:00,30.0,C.McLaughlin,2025,5,2025-10-05,SEA,TB,REG
2025_05_TB_SEA,553,"(4:10) 5-J.Myers 44 yard field goal is No Good, Wide Left, Center-41-C.Stoll, Holder-4-M.Dickson.",1,4,3,SEA,Field Goal,Kick Attempt No Good,00-0031492,TB,26.0,04:10:00,44.0,J.Myers,2025,5,2025-10-05,SEA,TB,REG
2025_05_TB_SEA,851,"(14:11) 4-C.McLaughlin 36 yard field goal is GOOD, Center-86-E.Deckers, Holder-9-R.Dixon.",2,4,4,TB,Field Goal,Kick Attempt Good,00-0035358,SEA,18.0,14:11:00,36.0,C.McLaughlin,2025,5,2025-10-05,SEA,TB,REG
2025_05_TB_SEA,4021,"(:03) 4-C.McLaughlin 39 yard field goal is GOOD, Center-86-E.Deckers, Holder-9-R.Dixon.",4,2,11,TB,Field Goal,Kick Attempt Good,00-0035358,SEA,21.0,00:03:00,39.0,C.McLaughlin,2025,5,2025-10-05,SEA,TB,REG
2025_05_TEN_ARI,705,"(5:04) 6-J.Slye 44 yard field goal is GOOD, Center-46-M.Cox, Holder-3-J.Hekker.",1,4,8,TEN,Field Goal,Kick Attempt Good,00-0035192,ARI,26.0,05:04:00,44.0,J.Slye,2025,5,2025-10-05,ARI,TEN,REG
2025_05_TEN_ARI,1548,"(8:34) 6-J.Slye 51 yard field goal is GOOD, Center-46-M.Cox, Holder-3-J.Hekker.",2,4,9,TEN,Field Goal,Kick Attempt Good,00-0035192,ARI,33.0,08:34:00,51.0,J.Slye,2025,5,2025-10-05,ARI,TEN,REG
