play_id,game_id,game_date,week,home_team,away_team,possession_team,defensive_team,quarter,down,yards_to_go,yardline_100,game_seconds_remaining,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,complete_pass,first_down,sack,qb_hit,interception,fumble_lost,penalty,penalty_yards,touchdown,field_goal_attempt,field_goal_result,kick_distance,special_teams_play,possession_team_score,defensive_team_score,score_differential,expected_points_before,expected_points_added,possession_team_win_probability,win_probability_added,successful_play,passer_player_name,receiver_player_name,rusher_player_name,kicker_player_name
2024_07_HOU_GB-2918,2024_07_HOU_GB,2024-10-20,7,GB,HOU,GB,HOU,3,1,10,85.0,966.0,run,-1.0,false,false,false,false,,,,,right,tackle,false,false,false,false,false,false,false,,false,false,,,false,21.0,19.0,2.0,0.5593550731427968,-0.9916343735530972,0.7009352445602417,-0.02819383144378662,false,,,J.Jacobs,
2024_04_BUF_BAL-3336,2024_04_BUF_BAL,2024-09-29,4,BAL,BUF,BAL,BUF,4,1,10,67.0,653.0,run,9.0,false,false,false,false,,,,,middle,,false,false,false,false,false,false,false,,false,false,,,false,35.0,10.0,25.0,1.914160726359114,0.7059551905840635,0.9998999834060669,-8.344650268554688e-06,true,,,D.Henry,
2024_03_MIA_SEA-1353,2024_03_MIA_SEA,2024-09-22,3,SEA,MIA,SEA,MIA,2,1,10,51.0,2481.0,pass,15.0,true,true,true,false,short,middle,4.0,11.0,,,true,true,false,false,false,false,false,,false,false,,,false,17.0,3.0,14.0,2.6705567156895995,0.8607969634467736,0.9006435871124268,0.004436492919921875,true,G.Smith,J.Smith-Njigba,,
2024_04_TEN_MIA-3791,2024_04_TEN_MIA,2024-09-30,4,MIA,TEN,MIA,TEN,4,2,4,17.0,435.0,pass,0.0,false,false,true,false,short,right,-5.0,5.0,,,true,false,false,false,false,false,false,,false,false,,,false,6.0,22.0,-16.0,4.599715328484308,-0.7502787657431327,0.06028300151228905,-0.017589237540960312,false,T.Huntley,J.Waddle,,
2024_03_JAX_BUF-4260,2024_03_JAX_BUF,2024-09-23,3,BUF,JAX,JAX,BUF,4,1,10,56.0,182.0,run,22.0,true,false,false,false,,,,,left,tackle,false,true,false,false,false,false,false,,false,false,,,false,10.0,47.0,-37.0,1.5215030799154192,1.2060764344059862,6.718373333569616e-05,9.868927008938044e-06,true,,,T.Etienne,
2024_08_TEN_DET-3764,2024_08_TEN_DET,2024-10-27,8,DET,TEN,DET,TEN,4,1,10,72.0,495.0,run,2.0,false,false,false,false,,,,,right,end,false,false,false,false,false,false,false,,false,false,,,false,52.0,14.0,38.0,1.5069785411469638,-0.35396556789055467,0.9999247789382935,-3.600120544433594e-05,false,,,C.Reynolds,
2024_06_CLE_PHI-1685,2024_06_CLE_PHI,2024-10-13,6,PHI,CLE,CLE,PHI,2,1,10,40.0,2172.0,pass,0.0,true,true,true,false,deep,left,37.0,,,,false,false,false,true,false,false,false,,false,false,,,false,0.0,10.0,-10.0,3.2835676901740953,-0.4611828535562381,0.2621234953403473,-0.01075732707977295,false,D.Watson,J.Jeudy,,
2024_07_HOU_GB-3523,2024_07_HOU_GB,2024-10-20,7,GB,HOU,HOU,GB,4,1,10,23.0,248.0,run,-1.0,false,false,false,false,,,,,left,end,false,false,false,false,false,false,false,,false,false,,,false,19.0,21.0,-2.0,4.146523159870412,-0.8482223156024702,0.5952111482620239,-0.048544466495513916,false,,,J.Mixon,
2024_13_PIT_CIN-4111,2024_13_PIT_CIN,2024-12-01,13,CIN,PIT,PIT,CIN,4,3,3,8.0,297.0,no_play,0.0,true,false,false,false,,,,,,,false,true,false,false,false,false,true,4.0,false,false,,,false,41.0,31.0,10.0,4.354723006719723,1.3918453220685478,0.9730511903762817,0.004387080669403076,true,,,,
2024_08_BAL_CLE-2490,2024_08_BAL_CLE,2024-10-27,8,CLE,BAL,BAL,CLE,3,1,10,62.0,1361.0,pass,25.0,true,false,true,false,deep,left,19.0,6.0,,,true,true,false,false,false,false,false,,false,false,,,false,10.0,13.0,-3.0,1.6543130530044436,1.7750838520005345,0.38544905185699463,0.10207802057266235,true,L.Jackson,Z.Flowers,,
2024_09_CHI_ARI-3954,2024_09_CHI_ARI,2024-11-03,9,ARI,CHI,CHI,ARI,4,3,5,40.0,284.0,pass,0.0,true,true,true,false,short,left,6.0,,,,false,false,false,false,false,false,false,,false,false,,,false,9.0,29.0,-20.0,2.7506542436312884,-1.4826150806620717,0.0009058490977622569,4.391488619148731e-05,false,C.Williams,D.Moore,,
2024_16_DET_CHI-1711,2024_16_DET_CHI,2024-12-22,16,CHI,DET,CHI,DET,2,3,1,1.0,2195.0,pass,1.0,false,false,true,false,short,left,1.0,0.0,,,true,true,false,false,false,false,false,,true,false,,,false,0.0,20.0,-20.0,5.674645634542685,1.325354365457315,0.12520714104175568,-0.015591776543035119,true,C.Williams,C.Kmet,,
2024_18_SF_ARI-4106,2024_18_SF_ARI,2025-01-05,18,ARI,SF,ARI,SF,4,1,10,39.0,398.0,run,3.0,false,false,false,false,,,,,middle,,false,false,false,false,false,false,false,,false,false,,,false,33.0,24.0,9.0,3.532205625786446,-0.2444636202417314,0.964574933052063,-0.0030535459518432617,false,,,M.Carter,
2024_08_CHI_WAS-2243,2024_08_CHI_WAS,2024-10-27,8,WAS,CHI,WAS,CHI,3,2,10,44.0,1728.0,run,7.0,true,true,false,false,,,,,right,guard,false,false,false,false,false,false,false,,false,false,,,false,9.0,0.0,9.0,2.8510311073623598,0.15627334732562304,0.8671122789382935,0.009521245956420898,true,,,B.Robinson,
2024_05_MIA_NE-2860,2024_05_MIA_NE,2024-10-06,5,NE,MIA,NE,MIA,3,2,8,68.0,1330.0,run,6.0,false,false,false,false,,,,,right,tackle,false,false,false,false,false,false,false,,false,false,,,false,10.0,6.0,4.0,1.3558497703634202,0.18660420225933194,0.7153034210205078,0.015961050987243652,true,,,R.Stevenson,
2024_14_ATL_MIN-2286,2024_14_ATL_MIN,2024-12-08,14,MIN,ATL,MIN,ATL,3,1,10,32.0,1612.0,run,6.0,false,false,false,false,,,,,left,tackle,false,false,false,false,false,false,false,,false,false,,,false,14.0,10.0,4.0,4.318349776091054,0.21059620450250804,0.7794607281684875,0.012508511543273926,true,,,A.Jones,
2024_16_CLE_CIN-772,2024_16_CLE_CIN,2024-12-22,16,CIN,CLE,CIN,CLE,1,3,3,28.0,2788.0,pass,0.0,true,false,true,false,deep,middle,23.0,,,,false,false,false,true,false,false,false,,false,false,,,false,7.0,0.0,7.0,3.456941481679678,-1.7022580095745192,0.8273345232009888,-0.033808887004852295,false,J.Burrow,T.Higgins,,
2024_08_NYJ_NE-2288,2024_08_NYJ_NE,2024-10-27,8,NE,NYJ,NYJ,NE,3,2,10,35.0,1506.0,pass,15.0,true,false,true,false,short,right,4.0,11.0,,,true,true,false,false,false,false,false,,false,false,,,false,13.0,14.0,-1.0,2.994744850206189,1.5289162390399724,0.5448595881462097,0.0386357307434082,true,A.Rodgers,D.Adams,,
