flight_id,flight_date,quarter,month_number,day_of_week,marketing_carrier_code,operating_carrier_code,origin_airport_code,origin_city_name,origin_state,destination_airport_code,destination_city_name,destination_state,scheduled_departure_hhmm,actual_departure_hhmm,departure_delay_minutes,departure_delayed_15,scheduled_arrival_hhmm,actual_arrival_hhmm,arrival_delay_minutes,arrival_delayed_15,cancelled,cancellation_code,diverted,scheduled_elapsed_minutes,actual_elapsed_minutes,air_time_minutes,distance_miles,carrier_delay_minutes,weather_delay_minutes,national_aviation_system_delay_minutes,security_delay_minutes,late_aircraft_delay_minutes
flt_12aeaf9b546691c53e4de90b48e3,2024-05-02,2,5,4,AA,AA,ORD,"Chicago, IL",IL,DEN,"Denver, CO",CO,1145,1403,138.0,true,1322,1555,153.0,true,false,,false,157.0,172.0,141.0,888.0,107.0,0.0,15.0,0.0,31.0
flt_995fddbb346edc9434989e6db7c7,2024-02-09,1,2,5,UA,UA,ORD,"Chicago, IL",IL,MCI,"Kansas City, MO",MO,731,729,-2.0,false,909,902,-7.0,false,false,,false,98.0,93.0,70.0,403.0,,,,,
flt_6d6fa4a01684caca40f2f29c6f6a,2024-04-07,2,4,7,AA,AA,ORD,"Chicago, IL",IL,PHX,"Phoenix, AZ",AZ,1116,1114,-2.0,false,1307,1302,-5.0,false,false,,false,231.0,228.0,206.0,1440.0,,,,,
flt_d0b18a91b92ea3cbc71decf88957,2024-08-11,3,8,7,DL,DL,MDW,"Chicago, IL",IL,ATL,"Atlanta, GA",GA,611,608,-3.0,false,905,901,-4.0,false,false,,false,114.0,113.0,88.0,591.0,,,,,
flt_b972b68f7c55bdd1f96a3f5227d7,2024-02-10,1,2,6,WN,WN,MDW,"Chicago, IL",IL,MIA,"Miami, FL",FL,1140,1141,1.0,false,1540,1540,0.0,false,false,,false,180.0,179.0,154.0,1182.0,,,,,
flt_d45f0349ea6f19cd9fcee296748a,2024-09-24,3,9,2,AA,AA,ORD,"Chicago, IL",IL,JFK,"New York, NY",NY,1145,1149,4.0,false,1459,1505,6.0,false,false,,false,134.0,136.0,115.0,740.0,,,,,
flt_47e352fae63d3db3c8b802711194,2024-04-17,2,4,3,WN,WN,MDW,"Chicago, IL",IL,BOS,"Boston, MA",MA,715,714,-1.0,false,1030,1013,-17.0,false,false,,false,135.0,119.0,106.0,861.0,,,,,
flt_ac2ab03c5030cfadde4ffa7623f6,2024-01-30,1,1,2,UA,UA,ORD,"Chicago, IL",IL,AUS,"Austin, TX",TX,1951,1944,-7.0,false,2254,2211,-43.0,false,false,,false,183.0,147.0,123.0,977.0,,,,,
flt_e310ae88fb887513883a7b1d8a4d,2024-10-09,4,10,3,UA,UA,ORD,"Chicago, IL",IL,SAV,"Savannah, GA",GA,1110,1100,-10.0,false,1432,1408,-24.0,false,false,,false,142.0,128.0,98.0,773.0,,,,,
flt_c71fd7c14deae21dd032c7a1ba47,2024-02-14,1,2,3,WN,WN,MDW,"Chicago, IL",IL,PDX,"Portland, OR",OR,1715,1713,-2.0,false,1940,1940,0.0,false,false,,false,265.0,267.0,251.0,1751.0,,,,,
flt_d568e1e39209e1dca586c5d49029,2024-03-29,1,3,5,UA,UA,ORD,"Chicago, IL",IL,SFO,"San Francisco, CA",CA,1955,2010,15.0,true,2239,14,95.0,true,false,,false,284.0,364.0,259.0,1846.0,0.0,0.0,95.0,0.0,0.0
flt_e780822846466acdecf2c0eae808,2024-05-23,2,5,4,AA,MQ,ORD,"Chicago, IL",IL,MSP,"Minneapolis, MN",MN,1557,1736,99.0,true,1726,1903,97.0,true,false,,false,89.0,87.0,64.0,334.0,0.0,0.0,0.0,0.0,97.0
flt_46ab64bd44dcf4b21dfe26d5f911,2024-06-07,2,6,5,UA,UA,ORD,"Chicago, IL",IL,LGA,"New York, NY",NY,2000,1958,-2.0,false,2321,2256,-25.0,false,false,,false,141.0,118.0,84.0,733.0,,,,,
flt_f0c200a0225821c45939faaea07f,2024-12-12,4,12,4,AA,AA,ORD,"Chicago, IL",IL,SFO,"San Francisco, CA",CA,1203,1159,-4.0,false,1458,1444,-14.0,false,false,,false,295.0,285.0,264.0,1846.0,,,,,
flt_948df907afbc259c7d6d2dfca243,2024-04-05,2,4,5,DL,DL,MSP,"Minneapolis, MN",MN,TPA,"Tampa, FL",FL,700,652,-8.0,false,1120,1053,-27.0,false,false,,false,200.0,181.0,150.0,1306.0,,,,,
flt_a587e4d1aa5a4bc75caaef4072e7,2024-11-20,4,11,3,WN,WN,MDW,"Chicago, IL",IL,LGA,"New York, NY",NY,1955,1951,-4.0,false,2300,2241,-19.0,false,false,,false,125.0,110.0,96.0,725.0,,,,,
flt_88ea59dd846159cbd01995cc1645,2024-11-01,4,11,5,WN,WN,MSP,"Minneapolis, MN",MN,BWI,"Baltimore, MD",MD,1800,1751,-9.0,false,2120,2100,-20.0,false,false,,false,140.0,129.0,115.0,936.0,,,,,
flt_82c75a88abd87b42eb1cf886173b,2024-03-01,1,3,5,AA,ZW,ORD,"Chicago, IL",IL,MHK,"Manhattan/Ft. Riley, KS",KS,1010,1146,96.0,true,1210,1312,62.0,true,false,,false,120.0,86.0,71.0,501.0,21.0,0.0,0.0,0.0,41.0
flt_2aa7ed0a0f58d02c1f9d43c59174,2024-05-09,2,5,4,AA,ZW,ORD,"Chicago, IL",IL,MHK,"Manhattan/Ft. Riley, KS",KS,2019,2015,-4.0,false,2217,2211,-6.0,false,false,,false,118.0,116.0,78.0,501.0,,,,,
flt_75af696861066be7b655481d00f8,2024-10-19,4,10,6,DL,OO,MSP,"Minneapolis, MN",MN,ICT,"Wichita, KS",KS,1820,1815,-5.0,false,2008,1958,-10.0,false,false,,false,108.0,103.0,78.0,545.0,,,,,
flt_b50e033a7b10abb24bff0eaaf091,2024-05-09,2,5,4,UA,UA,ORD,"Chicago, IL",IL,PSP,"Palm Springs, CA",CA,920,914,-6.0,false,1151,1141,-10.0,false,false,,false,271.0,267.0,220.0,1651.0,,,,,
flt_ccd4f0ee41758760c7923c1efdc7,2024-04-23,2,4,2,UA,YX,MSP,"Minneapolis, MN",MN,EWR,"Newark, NJ",NJ,1808,1801,-7.0,false,2159,2140,-19.0,false,false,,false,171.0,159.0,127.0,1008.0,,,,,
flt_7e51d8c94db461247eacb02051c5,2024-03-24,1,3,7,UA,OO,MSP,"Minneapolis, MN",MN,SFO,"San Francisco, CA",CA,1916,2039,83.0,true,2157,2307,70.0,true,false,,false,281.0,268.0,217.0,1589.0,0.0,0.0,70.0,0.0,0.0
flt_a740d62a7382ecb9fed293a16e27,2024-03-20,1,3,3,WN,WN,MDW,"Chicago, IL",IL,RIC,"Richmond, VA",VA,1250,1253,3.0,false,1535,1531,-4.0,false,false,,false,105.0,98.0,81.0,629.0,,,,,
flt_a6a2a24410d5a738ee685d0e8a85,2024-12-10,4,12,2,WN,WN,MDW,"Chicago, IL",IL,TPA,"Tampa, FL",FL,925,939,14.0,false,1300,1301,1.0,false,false,,false,155.0,142.0,131.0,997.0,,,,,
