crash_id,crash_datetime,crash_year,crash_month,crash_month_name,crash_weekday_name,crash_hour,time_period,posted_speed_limit_mph,traffic_control_device,reported_weather_condition,reported_lighting_condition,first_crash_type,trafficway_type,reported_road_surface_condition,crash_type,intersection_related,hit_and_run,estimated_damage,primary_contributory_cause,unit_count,most_severe_injury,injuries_total,injuries_fatal,latitude,longitude,zip5,weather_station_name,temperature_f,dew_point_f,relative_humidity_percent,precipitation_inches,visibility_miles,wind_speed_mph
crash_09776,2020-12-29 17:50:00,2020,12,Dec,Tue,17,Evening commute,30,TRAFFIC SIGNAL,SNOW,DUSK,TURNING,NOT DIVIDED,SNOW OR SLUSH,NO INJURY / DRIVE AWAY,true,,"OVER $1,500",UNABLE TO DETERMINE,3,NO INDICATION OF INJURY,0,0,41.8012250602,-87.6649209577,60609,"CHICAGO MIDWAY AIRPORT, IL US",27.0,24.0,89.0,0.04,0.5,13.0
crash_09777,2019-10-12 09:17:00,2019,10,Oct,Sat,9,Morning commute,30,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,,,$500 OR LESS,FAILING TO YIELD RIGHT-OF-WAY,2,NO INDICATION OF INJURY,0,0,41.9528936004,-87.7799868244,60634,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",38.0,27.0,65.0,0.0,10.0,15.0
crash_09778,2022-10-22 12:40:00,2022,10,Oct,Sat,12,Daytime,30,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),DRY,INJURY AND / OR TOW DUE TO CRASH,,,"OVER $1,500",NOT APPLICABLE,4,NONINCAPACITATING INJURY,1,0,41.965212514,-87.7586212605,60630,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",75.0,48.0,39.0,0.0,10.0,13.0
crash_09779,2023-08-26 12:00:00,2023,8,Aug,Sat,12,Daytime,30,NO CONTROLS,UNKNOWN,DARKNESS,PARKED MOTOR VEHICLE,OTHER,DRY,NO INJURY / DRIVE AWAY,,true,"OVER $1,500",UNABLE TO DETERMINE,2,NO INDICATION OF INJURY,0,0,41.7527146549,-87.6216544747,60619,"CHICAGO MIDWAY AIRPORT, IL US",75.0,65.0,71.0,0.0,10.0,11.0
crash_09780,2023-07-20 22:06:00,2023,7,Jul,Thu,22,Night or early morning,25,STOP SIGN/FLASHER,CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,T-INTERSECTION,DRY,INJURY AND / OR TOW DUE TO CRASH,true,,"OVER $1,500",DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,1,NONINCAPACITATING INJURY,2,0,41.8203971624,-87.6133366701,60653,"CHICAGO MIDWAY AIRPORT, IL US",75.0,56.0,52.0,0.0,10.0,10.0
crash_09781,2019-05-14 17:40:00,2019,5,May,Tue,17,Evening commute,30,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,CENTER TURN LANE,DRY,NO INJURY / DRIVE AWAY,true,,"$501 - $1,500",FOLLOWING TOO CLOSELY,2,NO INDICATION OF INJURY,0,0,41.9306998914,-87.8064561309,60707,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",65.0,33.0,31.0,0.0,10.0,13.0
crash_09782,2019-01-09 21:55:00,2019,1,Jan,Wed,21,Night or early morning,15,NO CONTROLS,CLEAR,DARKNESS,ANGLE,ONE-WAY,DRY,INJURY AND / OR TOW DUE TO CRASH,,true,"OVER $1,500",DISREGARDING STOP SIGN,2,NO INDICATION OF INJURY,0,0,41.9276233176,-87.7734757436,60639,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",17.0,6.0,62.0,0.0,10.0,11.0
crash_09783,2024-06-07 13:55:00,2024,6,Jun,Fri,13,Daytime,10,NO CONTROLS,CLEAR,UNKNOWN,REAR TO FRONT,PARKING LOT,DRY,NO INJURY / DRIVE AWAY,,,"OVER $1,500",UNABLE TO DETERMINE,2,NO INDICATION OF INJURY,0,0,41.8921043921,-87.6049689018,60611,"CHICAGO MIDWAY AIRPORT, IL US",79.0,44.0,29.0,0.0,10.0,20.0
crash_09784,2022-07-22 19:04:00,2022,7,Jul,Fri,19,Night or early morning,30,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,,,"OVER $1,500",FOLLOWING TOO CLOSELY,2,NO INDICATION OF INJURY,0,0,41.9322053951,-87.6976792439,60618,"CHICAGO MIDWAY AIRPORT, IL US",88.0,63.0,43.0,0.0,10.0,9.0
crash_09785,2022-12-31 00:42:00,2022,12,Dec,Sat,0,Night or early morning,30,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,FOUR WAY,DRY,INJURY AND / OR TOW DUE TO CRASH,true,true,"OVER $1,500",DISREGARDING TRAFFIC SIGNALS,2,NO INDICATION OF INJURY,0,0,41.8167293867,-87.7435367125,60638,"CHICAGO MIDWAY AIRPORT, IL US",30.0,26.0,85.0,0.0,10.0,5.0
